980,3.02,0
970,2.85,0
1080,2.79,0
1510,3.50,0
980,3.09,0
1280,3.14,0
1190,3.73,0
960,2.96,0
910,3.15,0
710,3.26,0
1080,3.33,0
1370,3.95,1
1260,3.24,0
1360,3.43,0
1290,3.67,1
1360,3.89,0
1380,3.66,0
990,3.68,0
890,3.55,0
1410,3.84,0
1330,3.91,1
1440,3.85,1
1250,3.91,1
1240,3.39,0
1280,3.83,0
1460,3.49,0
1320,2.89,0
1070,3.97,0
1310,3.69,0
1210,3.51,1
1130,3.10,0
1560,3.70,1
1480,3.15,0
690,2.39,0
1380,3.82,1
1380,3.77,1
1150,3.30,0
1320,3.82,1
1230,3.77,1
1190,3.37,0
1090,2.88,0
1480,3.84,1
1300,3.15,0
1360,3.86,1
1460,3.93,0
880,2.73,0
1410,3.60,1
1490,2.96,0
1400,3.96,0
1110,3.12,0
1000,3.08,0
1300,3.82,1
1420,3.59,1
1260,3.34,0
1490,3.99,1
1140,3.82,0
1190,3.81,0
1150,3.93,0
1260,3.88,0
1280,3.47,0
1040,3.43,0
1160,3.31,1
1290,4.00,1
1330,3.61,0
1440,3.77,0
1310,3.74,1
730,2.43,0
1090,3.17,0
1040,2.36,0
1130,3.66,0
1160,3.67,1
1230,3.57,0
1390,3.95,1
1240,3.47,0
1120,3.92,0
1480,3.96,1
1100,3.94,0
1470,3.64,0
940,3.49,0
1140,3.75,0
1040,3.88,0
1450,3.85,1
1220,3.54,1
1440,3.76,1
1530,3.98,1
1080,3.20,0
1220,3.29,0
950,3.99,0
1320,3.72,1
1300,3.56,1
1130,3.25,0
1170,3.93,0
1120,3.50,0
1170,3.76,0
1210,3.46,0
1080,3.69,0
1510,3.72,1
920,2.89,0
960,3.08,0
1300,3.54,0
1500,3.66,0
900,2.69,0
1420,3.73,1
1040,3.95,0
1160,2.18,0
1560,3.75,0
1200,3.09,0
1170,3.82,0
1140,3.52,0
1380,3.71,1
960,3.49,0
1110,3.25,0
1520,3.80,1
900,3.99,0
830,2.56,0
940,3.58,0
1230,3.01,0
1390,3.40,0
1190,3.24,0
1260,3.75,1
1280,3.41,0
940,2.34,0
1370,3.95,0
1070,3.61,0
1360,3.77,1
1400,4.02,0
1270,3.94,0
1450,3.98,1
1120,3.78,0
1170,3.71,0
1140,3.46,0
1190,3.27,0
710,3.99,0
1280,3.75,0
1030,3.35,0
1170,3.29,0
1040,3.78,0
1490,3.96,0
980,3.88,0
1230,2.93,0
1200,3.80,1
1050,2.99,0
1350,3.77,0
1020,3.99,0
1190,3.90,0
1120,3.85,0
1310,3.93,1
1480,3.73,1
940,2.67,0
1430,3.95,1
890,3.13,0
1010,2.94,0
1240,3.31,0
1360,3.52,1
1430,3.48,0
990,3.89,0
1150,2.50,0
1310,3.69,1
1270,3.61,1
1210,3.62,0
1200,3.14,0
1190,3.31,1
1180,3.12,0
1210,3.23,0
1230,4.00,0
1150,3.90,1
1280,2.95,0
860,3.00,0
1110,3.28,1
1350,4.00,1
1290,3.93,1
1430,4.00,1
920,3.02,0
1060,3.83,0
1060,3.22,0
950,3.05,0
1470,3.72,1
1270,3.01,0
1230,3.63,0
1420,3.48,0
1350,3.26,0
1270,3.56,1
1020,3.81,0
1200,3.94,0
1050,3.12,0
1210,3.56,0
1110,3.60,0
1280,3.17,0
